generation,rank,idx,smiles,valid,score_ga,p_sweet,pred_logsw,pred_logsw_mean,pred_logsw_std,pred_logsw_clipped,d_ood,d_ood_norm,docking_score,docking_score_std,gated_base_score,success
6,16,10,,False,2.919492721557617,0.9999797344207764,2.919492721557617,2.919492721557617,0.302601158618927,2.919492721557617,5.04876184463501,0.0,7.964064121246338,0.3334798514842987,3.419482707977295,True
6,17,16,,False,2.9067223072052,0.9999773502349854,2.9067223072052,2.9067223072052,0.3506692051887512,2.9067223072052,4.977761268615723,0.0,8.11019515991211,0.3129720091819763,3.4067111015319824,True
6,18,18,,False,2.906627655029297,0.9999644756317139,2.906627655029297,2.906627655029297,0.29268530011177063,2.906627655029297,5.050686359405518,0.0,8.012450218200684,0.4146031141281128,3.4066100120544434,True
6,19,8,,False,2.904085397720337,0.9999821186065674,2.904085397720337,2.904085397720337,0.2417350560426712,2.904085397720337,5.018353462219238,0.0,7.6943535804748535,0.35283780097961426,3.40407657623291,True
6,20,4,,False,2.903064727783203,0.9999765157699585,2.903064727783203,2.903064727783203,0.24667194485664368,2.903064727783203,4.996346473693848,0.0,7.984381675720215,0.2783724367618561,3.403053045272827,True
6,21,25,,False,2.8954384326934814,0.999962329864502,2.8954384326934814,2.8954384326934814,0.2966665029525757,2.8954384326934814,5.053518772125244,0.0,8.060833930969238,0.3807741701602936,3.3954195976257324,True
6,22,24,,False,2.888352632522583,0.9999700784683228,2.888352632522583,2.888352632522583,0.29353299736976624,2.888352632522583,4.810917854309082,0.0,7.916909694671631,0.2205750197172165,3.3883376121520996,True
6,23,26,,False,2.8853116035461426,0.9999616146087646,2.8853116035461426,2.8853116035461426,0.2931284010410309,2.8853116035461426,5.117166042327881,0.0,7.7995758056640625,0.31951645016670227,3.3852925300598145,True
6,24,21,,False,2.8752081394195557,0.9999748468399048,2.8752081394195557,2.8752081394195557,0.22307991981506348,2.8752081394195557,4.952107906341553,0.0,8.063793182373047,0.359844446182251,3.3751955032348633,True
6,25,6,,False,2.8661224842071533,0.9999843835830688,2.8661224842071533,2.8661224842071533,0.24725285172462463,2.8661224842071533,5.108145236968994,0.0,7.618222236633301,0.3409631848335266,3.366114616394043,True
6,26,20,,False,2.836927652359009,0.999975323677063,2.836927652359009,2.836927652359009,0.2626137137413025,2.836927652359009,4.98656702041626,0.0,8.202512741088867,0.38379180431365967,3.3369152545928955,True
6,27,12,,False,2.8351573944091797,0.9557791352272034,2.8351573944091797,2.8351573944091797,0.22328922152519226,2.8351573944091797,5.746719837188721,0.0,8.934213638305664,0.4280403256416321,3.313046932220459,True
6,28,28,,False,2.8281757831573486,0.9999845027923584,2.8281757831573486,2.8281757831573486,0.2322581559419632,2.8281757831573486,5.091623783111572,0.0,7.599230766296387,0.32787618041038513,3.3281679153442383,True
6,29,13,,False,2.8161323070526123,0.9999760389328003,2.8161323070526123,2.8161323070526123,0.3242168426513672,2.8161323070526123,5.05916166305542,0.0,8.075888633728027,0.380248486995697,3.3161203861236572,True
7,0,23,,False,3.0733463764190674,0.9999622106552124,3.0733463764190674,3.0733463764190674,0.2731066346168518,3.0733463764190674,4.933976650238037,0.0,7.904066562652588,0.34477126598358154,3.5733275413513184,True
7,1,16,,False,3.0699870586395264,0.999972939491272,3.0699870586395264,3.0699870586395264,0.23530890047550201,3.0699870586395264,5.005311012268066,0.0,7.764369010925293,0.3887638449668884,3.5699734687805176,True
7,2,28,,False,3.0684432983398438,0.999969482421875,3.0684432983398438,3.0684432983398438,0.23841148614883423,3.0684432983398438,4.847482681274414,0.0,7.8560051918029785,0.3626623749732971,3.5684280395507812,True
7,3,26,,False,3.0645389556884766,0.9999709129333496,3.0645389556884766,3.0645389556884766,0.2669501006603241,3.0645389556884766,4.852963447570801,0.0,7.936704158782959,0.33212175965309143,3.5645244121551514,True
7,4,0,,False,3.0524353981018066,0.9999676942825317,3.0524353981018066,3.0524353981018066,0.26743417978286743,3.0524353981018066,4.869875431060791,0.0,7.900827884674072,0.33175408840179443,3.5524191856384277,True
7,5,9,,False,3.046599864959717,0.9999673366546631,3.046599864959717,3.046599864959717,0.25794312357902527,3.046599864959717,4.829521179199219,0.0,7.986108303070068,0.38289788365364075,3.546583652496338,True
7,6,1,,False,3.037086009979248,0.9999767541885376,3.037086009979248,3.037086009979248,0.24237866699695587,3.037086009979248,5.056214332580566,0.0,7.794245719909668,0.35824111104011536,3.537074327468872,True
7,7,18,,False,3.0186209678649902,0.99997878074646,3.0186209678649902,3.0186209678649902,0.2502610683441162,3.0186209678649902,4.969820976257324,0.0,7.657867431640625,0.3261414170265198,3.5186104774475098,True
7,8,29,,False,3.018444061279297,0.9999797344207764,3.018444061279297,3.018444061279297,0.2544962763786316,3.018444061279297,5.1111555099487305,0.0,7.730382442474365,0.339860737323761,3.5184340476989746,True
7,9,2,,False,3.018234968185425,0.9999815225601196,3.018234968185425,3.018234968185425,0.24471360445022583,3.018234968185425,5.139261722564697,0.0,7.656175136566162,0.33927977085113525,3.51822566986084,True
7,10,13,,False,3.0162971019744873,0.9999750852584839,3.0162971019744873,3.0162971019744873,0.27349162101745605,3.0162971019744873,4.891977787017822,0.0,7.884901523590088,0.3715228736400604,3.516284704208374,True
7,11,17,,False,3.0121467113494873,0.9999812841415405,3.0121467113494873,3.0121467113494873,0.2607406675815582,3.0121467113494873,5.036923885345459,0.0,7.634713172912598,0.34100788831710815,3.5121374130249023,True
7,12,3,,False,3.008352041244507,0.9999806880950928,3.008352041244507,3.008352041244507,0.26131853461265564,3.008352041244507,5.041958808898926,0.0,7.6288652420043945,0.3402464985847473,3.5083422660827637,True
7,13,24,,False,3.007413387298584,0.9999803304672241,3.007413387298584,3.007413387298584,0.2539811432361603,3.007413387298584,5.165483474731445,0.0,7.75302267074585,0.3388204276561737,3.507403612136841,True
7,14,6,,False,3.001142978668213,0.999968409538269,3.001142978668213,3.001142978668213,0.27637502551078796,3.001142978668213,4.862034320831299,0.0,7.883644104003906,0.3686850965023041,3.501127243041992,True
7,15,5,,False,2.9926772117614746,0.9999750852584839,2.9926772117614746,2.9926772117614746,0.2623875141143799,2.9926772117614746,4.8606438636779785,0.0,7.857609748840332,0.35614049434661865,3.4926648139953613,True
7,16,15,,False,2.9887843132019043,0.9999836683273315,2.9887843132019043,2.9887843132019043,0.2348172813653946,2.9887843132019043,5.220059394836426,0.0,7.568084716796875,0.30943813920021057,3.488776206970215,True
7,17,12,,False,2.9826414585113525,0.9999804496765137,2.9826414585113525,2.9826414585113525,0.25241532921791077,2.9826414585113525,5.129293441772461,0.0,7.638272762298584,0.316953182220459,3.4826316833496094,True
7,18,25,,False,2.9807796478271484,0.9999806880950928,2.9807796478271484,2.9807796478271484,0.2575022280216217,2.9807796478271484,5.155742645263672,0.0,7.642056465148926,0.3262682259082794,3.4807701110839844,True
7,19,27,,False,2.9805424213409424,0.9999816417694092,2.9805424213409424,2.9805424213409424,0.24652744829654694,2.9805424213409424,5.142030715942383,0.0,7.624102592468262,0.3140592873096466,3.4805331230163574,True
7,20,19,,False,2.9740254878997803,0.999982476234436,2.9740254878997803,2.9740254878997803,0.3126521408557892,2.9740254878997803,4.933210849761963,0.0,8.061294555664062,0.3531835377216339,3.4740166664123535,True
7,21,21,,False,2.969142436981201,0.9999752044677734,2.969142436981201,2.969142436981201,0.317485511302948,2.969142436981201,4.770061016082764,0.0,7.859524726867676,0.28931429982185364,3.469130039215088,True
7,22,14,,False,2.961717128753662,0.9999810457229614,2.961717128753662,2.961717128753662,0.24907825887203217,2.961717128753662,5.1021528244018555,0.0,7.633141994476318,0.33534517884254456,3.461707592010498,True
7,23,4,,False,2.9518375396728516,0.9999710321426392,2.9518375396728516,2.9518375396728516,0.2793727517127991,2.9518375396728516,4.95269250869751,0.0,7.771433353424072,0.33499372005462646,3.4518229961395264,True
7,24,8,,False,2.950000286102295,0.9999686479568481,2.950000286102295,2.950000286102295,0.34670621156692505,2.950000286102295,4.679803848266602,0.0,7.9642486572265625,0.27324730157852173,3.449984550476074,True
7,25,20,,False,2.9466633796691895,0.9999803304672241,2.9466633796691895,2.9466633796691895,0.27758491039276123,2.9466633796691895,4.912744998931885,0.0,7.701776027679443,0.3491379916667938,3.4466536045074463,True
7,26,22,,False,2.926687240600586,0.9999734163284302,2.926687240600586,2.926687240600586,0.24990767240524292,2.926687240600586,5.033715724945068,0.0,7.805342674255371,0.3562755882740021,3.4266738891601562,True
7,27,10,,False,2.922445058822632,0.9999834299087524,2.922445058822632,2.922445058822632,0.2757045328617096,2.922445058822632,5.172179698944092,0.0,7.611510276794434,0.42415958642959595,3.4224367141723633,True
7,28,7,,False,2.899935007095337,0.9999698400497437,2.899935007095337,2.899935007095337,0.2929269075393677,2.899935007095337,5.072793483734131,0.0,7.981179714202881,0.4089859127998352,3.3999199867248535,True
7,29,11,,False,2.8725228309631348,0.9999479055404663,2.8725228309631348,2.8725228309631348,0.2942867875099182,2.8725228309631348,5.134909629821777,0.0,7.865603446960449,0.33034420013427734,3.3724968433380127,True
8,0,11,,False,3.0968823432922363,0.9999735355377197,3.0968823432922363,3.0968823432922363,0.24846068024635315,3.0968823432922363,5.0355095863342285,0.0,7.7694525718688965,0.3770906329154968,3.5968689918518066,True
8,1,26,,False,3.0926783084869385,0.9999723434448242,3.0926783084869385,3.0926783084869385,0.24001792073249817,3.0926783084869385,4.78269100189209,0.0,7.902710914611816,0.3795119822025299,3.5926644802093506,True
8,2,6,,False,3.086808681488037,0.999980092048645,3.086808681488037,3.086808681488037,0.23619429767131805,3.086808681488037,4.935154914855957,0.0,7.94680118560791,0.3920644521713257,3.586798667907715,True
8,3,5,,False,3.07896089553833,0.9999721050262451,3.07896089553833,3.07896089553833,0.22309179604053497,3.07896089553833,4.890557289123535,0.0,7.795499324798584,0.35996028780937195,3.578947067260742,True
8,4,25,,False,3.074104070663452,0.999977707862854,3.074104070663452,3.074104070663452,0.2650369703769684,3.074104070663452,5.075704574584961,0.0,7.730836391448975,0.3223586082458496,3.5740928649902344,True
8,5,0,,False,3.0733463764190674,0.9999622106552124,3.0733463764190674,3.0733463764190674,0.2731066346168518,3.0733463764190674,4.933976650238037,0.0,7.904066562652588,0.34477126598358154,3.5733275413513184,True
8,6,1,,False,3.0699870586395264,0.999972939491272,3.0699870586395264,3.0699870586395264,0.23530890047550201,3.0699870586395264,5.005311012268066,0.0,7.764369010925293,0.3887638449668884,3.5699734687805176,True
8,7,2,,False,3.0684432983398438,0.999969482421875,3.0684432983398438,3.0684432983398438,0.23841148614883423,3.0684432983398438,4.847482681274414,0.0,7.8560051918029785,0.3626623749732971,3.5684280395507812,True
8,8,15,,False,3.065235137939453,0.9999721050262451,3.065235137939453,3.065235137939453,0.2725076973438263,3.065235137939453,4.852910041809082,0.0,7.932978630065918,0.32920554280281067,3.5652213096618652,True
8,9,3,,False,3.0645389556884766,0.9999709129333496,3.0645389556884766,3.0645389556884766,0.2669501006603241,3.0645389556884766,4.852963447570801,0.0,7.936704158782959,0.33212175965309143,3.5645244121551514,True
8,10,13,,False,3.045473575592041,0.9999678134918213,3.045473575592041,3.045473575592041,0.2510061264038086,3.045473575592041,4.879075050354004,0.0,7.860313415527344,0.3213796615600586,3.545457363128662,True
8,11,27,,False,3.044084310531616,0.9999819993972778,3.044084310531616,3.044084310531616,0.2688964605331421,3.044084310531616,4.972970962524414,0.0,7.749891757965088,0.38627704977989197,3.5440752506256104,True
8,12,4,,False,3.038944959640503,0.9999661445617676,3.038944959640503,3.038944959640503,0.24619236588478088,3.038944959640503,4.879172325134277,0.0,7.836428165435791,0.36334556341171265,3.5389280319213867,True
8,13,17,,False,3.026634454727173,0.9999817609786987,3.026634454727173,3.026634454727173,0.26272881031036377,3.026634454727173,5.163694858551025,0.0,7.739467620849609,0.30154794454574585,3.526625394821167,True
8,14,28,,False,3.026103973388672,0.999976396560669,3.026103973388672,3.026103973388672,0.26792481541633606,3.026103973388672,4.905674934387207,0.0,7.856868743896484,0.3559282720088959,3.526092052459717,True
8,15,10,,False,3.0242738723754883,0.9999734163284302,3.0242738723754883,3.0242738723754883,0.2879800498485565,3.0242738723754883,4.855283737182617,0.0,7.868048191070557,0.33600088953971863,3.5242605209350586,True
8,16,29,,False,3.018234968185425,0.9999815225601196,3.018234968185425,3.018234968185425,0.24471360445022583,3.018234968185425,5.139261722564697,0.0,7.656175136566162,0.33927977085113525,3.51822566986084,True
8,17,14,,False,3.0169386863708496,0.9999629259109497,3.0169386863708496,3.0169386863708496,0.3043302595615387,3.0169386863708496,5.083068370819092,0.0,7.783355712890625,0.2684570252895355,3.5169200897216797,True
