ID,vina_kcal_mol
C_seed2029_final_top6,-6.35
C_seed2029_gen011_top2,-6.35
C_seed2026_gen009_top1,-7.388
C_seed2028_final_top6,-7.388
D_seed2028_gen005_top5,-7.388
D_seed2027_final_top2,-8.27
D_seed2027_gen011_top2,-8.27
C_seed2026_final_top6,-7.213
C_seed2026_gen004_top3,-7.213
C_seed2026_gen006_top3,-7.213
C_seed2026_gen007_top1,-7.213
C_seed2026_gen008_top3,-7.213
C_seed2026_gen009_top3,-7.213
C_seed2026_gen010_top4,-7.213
C_seed2027_gen007_top5,-7.213
C_seed2028_final_top4,-7.213
C_seed2028_gen004_top4,-7.213
C_seed2028_gen005_top5,-7.213
C_seed2028_gen007_top4,-7.213
C_seed2028_gen008_top4,-7.213
C_seed2028_gen009_top2,-7.213
C_seed2028_gen010_top2,-7.213
C_seed2028_gen011_top2,-7.213
C_seed2028_gen012_top2,-7.213
C_seed2029_final_top9,-7.213
C_seed2029_gen006_top3,-7.213
C_seed2029_gen008_top1,-7.213
C_seed2030_final_top9,-7.213
C_seed2030_gen004_top2,-7.213
C_seed2030_gen005_top3,-7.213
C_seed2030_gen006_top1,-7.213
C_seed2030_gen007_top4,-7.213
D_seed2026_gen004_top3,-7.213
D_seed2026_gen005_top2,-7.213
D_seed2026_gen006_top3,-7.213
D_seed2027_gen007_top1,-7.213
D_seed2028_gen004_top5,-7.213
D_seed2028_gen005_top3,-7.213
D_seed2028_gen006_top2,-7.213
D_seed2028_gen007_top3,-7.213
D_seed2028_gen008_top5,-7.213
D_seed2029_gen006_top2,-7.213
D_seed2029_gen007_top3,-7.213
D_seed2030_final_top9,-7.213
D_seed2030_gen004_top2,-7.213
D_seed2030_gen005_top3,-7.213
D_seed2030_gen006_top1,-7.213
D_seed2030_gen007_top4,-7.213
C_seed2030_gen008_top1,-6.794
D_seed2026_final_top7,-6.794
D_seed2026_gen011_top1,-6.794
D_seed2030_gen008_top1,-6.794
C_seed2026_gen007_top5,-7.957
C_seed2026_gen008_top1,-7.957
C_seed2027_final_top7,-7.957
C_seed2027_gen012_top4,-7.957
C_seed2029_gen006_top1,-7.957
C_seed2029_gen011_top5,-7.957
C_seed2030_final_top2,-7.957
C_seed2030_gen010_top2,-7.957
D_seed2026_final_top3,-7.957
D_seed2030_final_top2,-7.957
D_seed2030_gen010_top2,-7.957
B_seed2026_final_top9,-7.867
B_seed2026_gen007_top3,-7.867
B_seed2026_gen008_top1,-7.867
B_seed2026_gen009_top4,-7.867
