ID,smiles,method,method_label,init_mode,seed,rank,p_sweet_reencoded,pred_logsw_reencoded,d_ood_reencoded,final_score,sweet_gate_pass,pred_logsw_pass,ood_pass,pre_docking_goldlike,vina_kcal_mol,real_vina_supported,gold_real_vina
A_seed2029_final_top5,CC1=NC(=CC(=O)N(CC(=O)NN)N=C(C(N)=O)c2ccc(OCC(=O)O)cc2)CN1,A,Random latent GA,group_a_random,2029,5,0.9987599849700928,3.0681750774383545,7.500199794769287,3.553473472595215,True,True,False,False,-8.865,True,False
A_seed2029_final_top6,COC(=O)C=C(C)N=CN1C(=O)n2[nH]c(=O)c(c2=CC=C(C)C(C)=O)=C1N,A,Random latent GA,group_a_random,2029,6,0.9863411784172058,3.0514369010925293,6.000625133514404,3.544607400894165,True,True,True,True,-7.721,True,True
A_seed2029_final_top7,CCOC(OCC(=O)c1cccs1)c1nc2[nH]c(=O)c1s2,A,Random latent GA,group_a_random,2029,7,0.2884723246097564,2.988865852355957,6.9064621925354,2.723879814147949,False,True,True,False,-6.564,False,False
A_seed2029_final_top8,CCOc1ccc2c(C(=C(C)N)C(c3ccc(OC)cc3)n3c(=O)c4sc3nc4C)c(C(=O)O)oc2c1,A,Random latent GA,group_a_random,2029,8,0.0628844127058982,2.96250057220459,7.0892181396484375,2.344250144958496,False,True,True,False,-7.809,True,False
A_seed2029_final_top9,Cc1nc2sc1c(=O)n2C(=O)COc1nc2cnc1o2,A,Random latent GA,group_a_random,2029,9,0.0020191224757581,2.951770782470703,6.818154335021973,2.3143954277038574,False,True,True,False,-7.031,True,False
A_seed2029_final_top10,CCNC1C(C(c2ccc(OC)cc2)n2c(=O)c3sc2nc3C)=C(C(=O)O)Oc2cc(OCC)ccc21,A,Random latent GA,group_a_random,2029,10,0.174896240234375,2.934911012649536,8.009876251220703,2.413260164260864,False,True,False,False,-7.835,True,False
A_seed2030_final_top1,CN1C2C3=C4C5=CCN4C(=O)C34C3CN5C14CN23,A,Random latent GA,group_a_random,2030,1,0.1680153310298919,3.807672023773194,5.984057903289795,3.276091947555542,False,True,True,False,-7.897,True,False
A_seed2030_final_top2,COc1ccc2c(c1)OC1=CC3=C(C)N4CC(N3)N1C24,A,Random latent GA,group_a_random,2030,2,0.7466433048248291,3.6176702976226807,5.8173418045043945,3.948306798934937,False,True,True,False,-7.724,True,False
A_seed2030_final_top3,CN1C(=O)C23C(=O)N(C)C14CN2C(=O)C(c1csc(N)n1)N34,A,Random latent GA,group_a_random,2030,3,0.9878536462783812,3.594949245452881,6.881726264953613,4.088876247406006,True,True,True,True,-8.1,True,True
A_seed2030_final_top4,CN1C2Sc3cc4ccc3C1(N4)Oc1cc(O)ccc12,A,Random latent GA,group_a_random,2030,4,0.0013568359427154,3.36246109008789,5.955585479736328,2.724224805831909,False,True,True,False,-7.865,True,False
