method,seed,generation,latent_pairwise_distance,latent_dim_std
B,2028,4,5.381281772564197,0.5910722613334656
B,2028,5,4.741114373042666,0.49302488565444946
B,2028,6,1.207215452262725,0.10543520003557205
B,2028,7,1.051151170744293,0.09248443692922592
B,2028,8,1.0519429431564506,0.09343384206295013
B,2028,9,1.0536435360195993,0.09279832988977432
B,2028,10,0.9974693038682828,0.08719953149557114
B,2028,11,1.0461837747316252,0.09239087253808975
B,2028,12,1.1124660558741668,0.09413240104913712
D,2030,1,8.950172990492021,0.8302379250526428
D,2030,2,8.452696691847395,0.7969853281974792
D,2030,3,5.841043234727849,0.6136684417724609
D,2030,4,2.318911031744946,0.21763654053211212
D,2030,5,1.7432964025557727,0.16660133004188538
D,2030,6,1.2986545062270658,0.12134705483913422
D,2030,7,1.2955547782538952,0.12032941728830338
D,2030,8,1.3853553372553025,0.12705263495445251
D,2030,9,1.3507588524928038,0.11743985116481781
D,2030,10,2.1875882630033057,0.26957231760025024
D,2030,11,3.7252751612115182,0.41022226214408875
D,2030,12,5.906896284051325,0.5620781183242798
B,2030,1,10.855616845207653,1.0041896104812622
B,2030,2,9.624636625421457,0.9091898202896118
B,2030,3,6.797196838567997,0.6552645564079285
B,2030,4,4.352147900270319,0.47400808334350586
B,2030,5,1.910147702111595,0.20813778042793274
B,2030,6,1.8975108081924503,0.20162753760814667
B,2030,7,1.605296062875068,0.1645418256521225
B,2030,8,1.885816726670868,0.17641861736774445
B,2030,9,1.4214032388624103,0.12930187582969666
B,2030,10,1.3422654700005192,0.12518596649169922
B,2030,11,1.1886593616556846,0.1091557964682579
B,2030,12,1.0951700508937068,0.09552820026874542
C,2028,1,8.950172990492021,0.8302379250526428
C,2028,2,8.044750884997434,0.7602545619010925
C,2028,3,6.297400156999457,0.6281906962394714
C,2028,4,3.1644599441995567,0.36264505982398987
C,2028,5,2.1653545709862105,0.21027681231498718
C,2028,6,1.9005627909268457,0.17623306810855865
C,2028,7,1.2572452147801718,0.12040843069553375
C,2028,8,1.0828720930321463,0.09895794838666916
C,2028,9,1.1155193760134707,0.09852489084005356
C,2028,10,1.1054361558508599,0.09773483127355576
C,2028,11,1.0321967108325028,0.08911662548780441
C,2028,12,1.1001718446269804,0.09520399570465088
C,2026,1,8.950172990492021,0.8302379250526428
C,2026,2,8.5993149867003,0.8136466145515442
C,2026,3,8.214741338926485,0.784429132938385
C,2026,4,5.960224640506437,0.626603901386261
C,2026,5,3.568651210302594,0.32287687063217163
C,2026,6,2.37202434293155,0.2195775955915451
C,2026,7,1.1267455554556574,0.10556819289922714
C,2026,8,0.9359956918434165,0.08110903203487396
C,2026,9,0.9480954832729251,0.08344507217407227
C,2026,10,1.0014662406910424,0.08676973730325699
C,2026,11,1.1079356098312072,0.09422902017831802
