generation,idx,source_type,smiles,valid,score_ga,p_sweet,pred_logsw,pred_logsw_mean,pred_logsw_std,pred_logsw_clipped,d_ood,d_ood_norm,canonical_smiles,descriptor_ok,descriptor_score,descriptor_filter_reason,risk_flags,MolWt,TPSA,HBD,HBA,HBA_HBD_sum,LogP,RotB,RingCount,HeavyAtoms,HeteroAtoms,AromaticRatio,HalogenCount,reencode_ok,reencode_reason,p_sweet_reencoded,pred_logsw_reencoded,pred_logsw_mean_reencoded,pred_logsw_std_reencoded,pred_logsw_clipped_reencoded,d_ood_reencoded,d_ood_norm_reencoded,score_reencoded,llm_score,llm_decision,llm_reason,final_score,reliable_candidate,reliable_filter_reason,final_rank,method,seed,run_dir
final,12,ga_mutation_crossover,O=C1N(C=NCC2CC2)C2C3Oc4ccc5c6c4C4N1CC2(O5)C(O6)N34,True,4.157371044158936,0.8621129393577576,3.7263145446777344,3.818794250488281,0.3699188828468323,3.5,5.698625087738037,0.0,O=C1N(C=NCC2CC2)C2C3Oc4ccc5c6c4C4N1CC2(O5)C(O6)N34,True,0.96,pass,,352.35000000000014,66.84,0,6,6,1.1271,3,8,26,8,0.2307692307692307,0,True,ok,0.6668775677680969,2.3358523845672607,2.3939852714538574,0.2325320094823837,2.3358523845672607,7.011763572692871,0.7564308643341064,2.6692912578582764,0.0,not_used,,2.6492912578582763,True,pass,21,A,2026,/home/jqb/Apply_Sweet/Apply_Sweet_results_202605_LLM_GA/sweet_ga_results_0618_v4_fast/group_a_random_ABCD_v4fast_0618_A_s2026_seed2026
final,23,ga_mutation_crossover,CC=C(C)C(F)=C1N=CC(=O)N1NC(=O)c1ccc2cc1N(C(=O)c1ccc(F)cc1)C2,True,4.225833415985107,0.8705283403396606,3.790569305419922,3.871393918991089,0.3232985734939575,3.5,5.726963996887207,0.0,CC=C(C)C(F)=C1N=CC(=O)N1NC(=O)c1ccc2cc1N(C(=O)c1ccc(F)cc1)C2,True,0.88,pass,,436.4180000000002,82.08000000000001,1,4,5,3.6487000000000025,4,4,32,9,0.375,2,True,ok,0.2381618767976761,2.796682119369507,2.902204990386963,0.4220910370349884,2.796682119369507,6.723401069641113,0.5082416534423828,2.666292667388916,0.0,not_used,,2.606292667388916,False,p_sweet_reencoded_low,22,A,2026,/home/jqb/Apply_Sweet/Apply_Sweet_results_202605_LLM_GA/sweet_ga_results_0618_v4_fast/group_a_random_ABCD_v4fast_0618_A_s2026_seed2026
final,0,ga_mutation_crossover,Cc1ccc(C(=O)OC(=O)CN(N)C(=O)c2sccc2S(C)(=O)=O)cc1,True,4.235670566558838,0.8590206503868103,3.8061604499816895,3.900040864944458,0.3755212426185608,3.5,5.815269470214844,0.0,Cc1ccc(C(=O)OC(=O)CN(N)C(=O)c2sccc2S(C)(=O)=O)cc1,True,1.0,pass,,396.4460000000001,123.84,1,8,9,1.1595200000000003,5,2,26,10,0.4230769230769231,0,True,ok,0.0154448710381984,3.022956132888794,3.127445697784424,0.4179583787918091,3.022956132888794,6.170762062072754,0.032593660056591,2.603034496307373,0.0,not_used,,2.603034496307373,False,p_sweet_reencoded_low,23,A,2026,/home/jqb/Apply_Sweet/Apply_Sweet_results_202605_LLM_GA/sweet_ga_results_0618_v4_fast/group_a_random_ABCD_v4fast_0618_A_s2026_seed2026
final,11,ga_mutation_crossover,NCn1nc2c3ccccc3n(C(=O)c3ccc(F)cc3)c2cc1=O,True,4.111769676208496,0.7717586755752563,3.7258901596069336,3.8059329986572266,0.320171445608139,3.5,5.719135284423828,0.0,NCn1nc2c3ccccc3n(C(=O)c3ccc(F)cc3)c2cc1=O,True,1.0,pass,,336.3260000000001,82.91,1,6,7,2.095,2,4,25,7,0.76,1,True,ok,0.7456808686256409,2.2178072929382324,2.264200448989868,0.1855729073286056,2.2178072929382324,6.02540922164917,0.0,2.5906476974487305,0.0,not_used,,2.5906476974487305,True,pass,24,A,2026,/home/jqb/Apply_Sweet/Apply_Sweet_results_202605_LLM_GA/sweet_ga_results_0618_v4_fast/group_a_random_ABCD_v4fast_0618_A_s2026_seed2026
final,4,ga_mutation_crossover,NCn1nc2c3ccccc3n(C(=O)c3ccc(F)cc3)c2cc1=O,True,4.158451557159424,0.8686869740486145,3.724108219146729,3.823466539382935,0.3974329531192779,3.5,5.824549674987793,0.0,NCn1nc2c3ccccc3n(C(=O)c3ccc(F)cc3)c2cc1=O,True,1.0,pass,,336.3260000000001,82.91,1,6,7,2.095,2,4,25,7,0.76,1,True,ok,0.8256781697273254,2.069624185562134,2.0986135005950928,0.1159573942422866,2.069624185562134,5.943917751312256,0.0,2.482463359832764,0.0,not_used,,2.482463359832764,True,pass,25,A,2026,/home/jqb/Apply_Sweet/Apply_Sweet_results_202605_LLM_GA/sweet_ga_results_0618_v4_fast/group_a_random_ABCD_v4fast_0618_A_s2026_seed2026
final,19,ga_mutation_crossover,NCn1nc2c3ccccc3n(C(=O)c3ccc(F)cc3)c2cc1=O,True,4.19077730178833,0.9023178219795228,3.7396183013916016,3.828959226608277,0.3573633730411529,3.5,5.8141913414001465,0.0,NCn1nc2c3ccccc3n(C(=O)c3ccc(F)cc3)c2cc1=O,True,1.0,pass,,336.3260000000001,82.91,1,6,7,2.095,2,4,25,7,0.76,1,True,ok,0.8256781697273254,2.069624185562134,2.0986135005950928,0.1159573495388031,2.069624185562134,5.943917274475098,0.0,2.482463359832764,0.0,not_used,,2.482463359832764,True,pass,26,A,2026,/home/jqb/Apply_Sweet/Apply_Sweet_results_202605_LLM_GA/sweet_ga_results_0618_v4_fast/group_a_random_ABCD_v4fast_0618_A_s2026_seed2026
final,24,ga_mutation_crossover,NCn1nc2c3ccccc3n(C(=O)c3ccc(F)cc3)c2cc1=O,True,4.187657833099365,0.7792128920555115,3.798051595687866,3.880947828292847,0.3315851092338562,3.5,5.686887741088867,0.0,NCn1nc2c3ccccc3n(C(=O)c3ccc(F)cc3)c2cc1=O,True,1.0,pass,,336.3260000000001,82.91,1,6,7,2.095,2,4,25,7,0.76,1,True,ok,0.5196933150291443,2.210513114929199,2.2761173248291016,0.2624168992042541,2.210513114929199,6.62243127822876,0.4213384687900543,2.4461145401000977,0.0,not_used,,2.4461145401000977,False,p_sweet_reencoded_low,27,A,2026,/home/jqb/Apply_Sweet/Apply_Sweet_results_202605_LLM_GA/sweet_ga_results_0618_v4_fast/group_a_random_ABCD_v4fast_0618_A_s2026_seed2026
final,2,ga_mutation_crossover,NCn1nc2c3ccccc3n(C(=O)c3ccc(F)cc3)c2cc1=O,True,4.21348762512207,0.8752470016479492,3.775864124298096,3.858843326568604,0.3319172263145447,3.5,5.728597640991211,0.0,NCn1nc2c3ccccc3n(C(=O)c3ccc(F)cc3)c2cc1=O,True,1.0,pass,,336.3260000000001,82.91,1,6,7,2.095,2,4,25,7,0.76,1,True,ok,0.3770675957202911,2.000379800796509,2.098482370376587,0.3924101591110229,2.000379800796509,6.562635898590088,0.3698734939098358,2.050567626953125,0.0,not_used,,2.050567626953125,False,p_sweet_reencoded_low,28,A,2026,/home/jqb/Apply_Sweet/Apply_Sweet_results_202605_LLM_GA/sweet_ga_results_0618_v4_fast/group_a_random_ABCD_v4fast_0618_A_s2026_seed2026
final,10,ga_mutation_crossover,NC(N)=C1C=NC2=C1C(=O)OC(c1cccs1)(N1CCOCC1)O2,True,4.1747355461120605,0.8549298644065857,3.747270584106445,3.843018054962158,0.3829897940158844,3.5,5.808099269866943,0.0,NC(N)=C1C=NC2=C1C(=O)OC(c1cccs1)(N1CCOCC1)O2,True,1.0,pass,,348.3840000000002,112.4,2,9,11,0.1889999999999996,2,4,24,9,0.2083333333333333,0,True,ok,0.0144852502271533,2.088690996170044,2.1943507194519043,0.4226391613483429,2.088690996170044,7.366807460784912,1.06201171875,1.662583351135254,0.0,not_used,,1.662583351135254,False,p_sweet_reencoded_low;d_ood_reencoded_high,29,A,2026,/home/jqb/Apply_Sweet/Apply_Sweet_results_202605_LLM_GA/sweet_ga_results_0618_v4_fast/group_a_random_ABCD_v4fast_0618_A_s2026_seed2026
final,22,ga_mutation_crossover,NC1(c2ccco2)Cc2ccn3c2C(=O)N1C1(CCCC1)C3=O,True,4.213046550750732,0.922587275505066,3.7517528533935542,3.8432343006134033,0.3659258484840393,3.5,5.834696769714356,0.0,NC1(c2ccco2)Cc2ccn3c2C(=O)N1C1(CCCC1)C3=O,True,1.0,pass,,311.34100000000007,81.47,1,5,6,1.8577000000000004,1,5,23,6,0.4347826086956521,0,True,ok,0.0066586192697286,1.7836591005325315,1.8505815267562864,0.2676898539066314,1.7836591005325315,6.61809778213501,0.4176087081432342,1.3523151874542236,0.0,not_used,,1.3523151874542236,False,p_sweet_reencoded_low;pred_logsw_reencoded_low,30,A,2026,/home/jqb/Apply_Sweet/Apply_Sweet_results_202605_LLM_GA/sweet_ga_results_0618_v4_fast/group_a_random_ABCD_v4fast_0618_A_s2026_seed2026
