generation,evaluations,elapsed_time_sec,mean_score,best_score,best_score_so_far,top10_mean_score,mean_pred_logsw,mean_pred_logsw_clipped,best_pred_logsw,best_pred_logsw_so_far,top10_mean_pred_logsw,mean_p_sweet,best_p_sweet,mean_d_ood,best_d_ood,success_count,success_rate,no_improve,method,seed
4,120,0.3896763324737549,3.5692989826202397,3.7252116203308105,3.7252116203308105,3.685535430908203,3.192857503890991,3.192857503890991,3.2531607151031494,3.2531607151031494,3.23962664604187,0.7963063716888428,0.9441016912460328,6.012048721313477,5.742656230926514,27,0.9,0,A,2029
5,150,0.4312596321105957,3.631506204605103,3.73981499671936,3.73981499671936,3.7134311199188232,3.245310544967652,3.245310544967652,3.268002510070801,3.268002510070801,3.2491729259490967,0.8069540858268738,0.9436250925064088,5.934764385223389,6.200843334197998,27,0.9,0,A,2029
6,180,0.4762301445007324,3.701725482940674,3.768876552581787,3.768876552581787,3.73687481880188,3.254387617111206,3.254387617111206,3.3529982566833496,3.3529982566833496,3.2726521492004395,0.8946758508682251,0.8317567706108093,5.985668659210205,5.709380149841309,30,1.0,0,A,2029
7,210,0.5166840553283691,3.732274293899536,3.769114017486572,3.769114017486572,3.762155532836914,3.282310962677002,3.282310962677002,3.306485891342163,3.3529982566833496,3.3037753105163574,0.8999274373054504,0.9252564311027528,6.055581569671631,6.216198444366455,30,1.0,0,A,2029
8,240,0.5612280368804932,3.756659746170044,3.835096836090088,3.835096836090088,3.7886595726013184,3.308411121368408,3.308411121368408,3.410781145095825,3.410781145095825,3.335364818572998,0.8964963555335999,0.8486313223838806,6.03968620300293,6.007357597351074,30,1.0,0,A,2029
9,270,0.6011497974395752,3.790519952774048,3.8413610458374015,3.8413610458374015,3.8237552642822266,3.344102621078491,3.344102621078491,3.404468297958374,3.410781145095825,3.376629590988159,0.8928336501121521,0.8737853765487671,6.02445125579834,6.030399322509766,30,1.0,0,A,2029
10,300,0.6465661525726318,3.8100218772888175,3.8738667964935294,3.8738667964935294,3.853497266769409,3.374969720840454,3.374969720840454,3.405412435531616,3.410781145095825,3.409576892852783,0.8701045513153076,0.9369085431098938,5.938339710235596,6.027164459228516,30,1.0,0,A,2029
11,330,0.6891829967498779,3.8590478897094727,3.915248394012451,3.915248394012451,3.884810209274292,3.415996551513672,3.415996551513672,3.451130151748657,3.451130151748657,3.429151058197021,0.8861017823219299,0.9282364249229432,5.882932662963867,5.814019203186035,30,1.0,0,A,2029
12,360,0.7231121063232422,3.87358832359314,3.9422128200531006,3.9422128200531006,3.913442611694336,3.4283101558685303,3.4283101558685303,3.47196102142334,3.47196102142334,3.4523956775665283,0.8905555009841919,0.940503478050232,5.9511823654174805,5.828598499298096,30,1.0,0,A,2029
1,30,0.2418394088745117,2.342481851577759,3.916513681411743,3.916513681411743,3.1489744186401367,2.332597017288208,2.331725597381592,3.5261430740356445,3.5261430740356445,2.8650131225585938,0.4384361505508423,0.7807410955429077,5.624814510345459,5.29939079284668,7,0.2333333333333333,0,A,2030
