method,seed,generation,hard_pass,n,topk_logsw,topk_p_sweet,best_logsw,mean_ood
B,2026,4,5,5,2.91769061088562,0.9928451776504517,2.933956384658813,5.873044109344482
B,2026,5,5,5,2.966688966751099,0.9967417359352112,3.0370893478393555,5.793925380706787
B,2026,6,5,5,3.0576191902160645,0.9902597546577454,3.1163668632507324,5.779461669921875
B,2026,7,5,5,3.135395336151123,0.9772359490394592,3.208571672439575,5.792229843139649
B,2026,8,5,5,3.213473653793335,0.9778362274169922,3.245857715606689,5.771369743347168
B,2026,9,5,5,3.274550771713257,0.9649011611938476,3.3192741870880127,5.7994568824768065
B,2026,10,5,5,3.3093425273895263,0.997527277469635,3.33809494972229,5.7514166831970215
B,2026,11,5,5,3.3650078773498535,0.9956474781036377,3.4146852493286133,5.843285083770752
B,2026,12,5,5,3.422964334487915,0.9982308983802796,3.4595654010772705,5.892816734313965
B,2027,1,3,5,2.7096605777740477,0.98202543258667,3.068976879119873,6.435509204864502
B,2027,2,3,5,3.0182376861572267,0.8740429520606995,3.068976879119873,5.965540027618408
B,2027,3,5,5,3.2683746814727783,0.9963652968406678,3.525325059890747,6.030380630493164
B,2027,4,5,5,3.546900987625122,0.9969597101211548,3.563663959503174,5.720947742462158
B,2027,5,5,5,3.625562000274658,0.9961294531822205,3.724513292312622,5.6579100608825685
B,2027,6,5,5,3.690305471420288,0.9982572078704834,3.728511333465576,5.860868263244629
B,2027,7,5,5,3.775386381149292,0.9975182294845581,3.821426153182984,5.650274753570557
B,2027,8,5,5,3.8155384063720703,0.9957841634750366,3.829591035842896,5.7131623268127445
B,2027,9,5,5,3.8627804279327393,0.9979036808013916,3.875148057937622,5.777520847320557
B,2027,10,5,5,3.924991083145142,0.9986545085906983,3.96450424194336,5.738709735870361
B,2027,11,5,5,3.965085172653198,0.9986606121063233,3.969130039215088,5.826514625549317
B,2027,12,5,5,3.9977494716644286,0.9989579439163208,4.030017852783203,5.833884906768799
B,2028,1,2,5,2.5738823890686033,0.982987105846405,2.65221643447876,6.727088260650635
B,2028,2,5,5,2.720647668838501,0.99797602891922,2.865833044052124,6.286892032623291
B,2028,3,5,5,2.8097320079803465,0.999041485786438,2.865833044052124,5.837068176269531
B,2028,4,5,5,2.9613654136657717,0.9961543202400207,3.155078649520874,6.055334568023682
B,2028,5,5,5,3.1986131191253664,0.9852182030677795,3.3045194149017334,6.129309940338135
B,2028,6,5,5,3.279612112045288,0.9716425895690918,3.3940184116363525,6.160444355010986
B,2028,7,5,5,3.383735179901123,0.9949743628501893,3.4832725524902344,6.12577600479126
B,2028,8,5,5,3.492064046859741,0.9976664900779724,3.520026445388794,6.220692539215088
B,2028,9,5,5,3.520521545410156,0.9976022481918335,3.530027389526367,6.230572128295899
B,2028,10,5,5,3.535793161392212,0.9969505310058594,3.5647194385528564,6.265016555786133
B,2028,11,5,5,3.5647803783416747,0.9950868129730225,3.5997753143310547,6.232454776763916
B,2028,12,5,5,3.5945677757263184,0.9940503716468811,3.6191132068634033,6.272543907165527
B,2029,1,5,5,2.7159684181213377,0.9931213021278381,2.771300792694092,6.101463508605957
B,2029,2,5,5,2.769990348815918,0.9840690970420838,2.8242287635803223,6.127266216278076
B,2029,3,5,5,2.8882638931274416,0.9663969516754151,3.077575922012329,6.2499439239501955
B,2029,4,5,5,3.0016661167144774,0.953315258026123,3.1559808254241943,5.51107759475708
B,2029,5,4,5,3.1169235706329346,0.918812894821167,3.166801929473877,5.01724157333374
B,2029,6,5,5,3.2090916633605957,0.9610184669494629,3.279987573623657,4.926730632781982
B,2029,7,5,5,3.2725571632385253,0.9553515553474426,3.3250491619110107,5.093460178375244
B,2029,8,5,5,3.3424304962158202,0.9786898851394653,3.3963913917541504,5.290566635131836
B,2029,9,5,5,3.386591148376465,0.9920175075531006,3.4121999740600586,5.434782314300537
B,2029,10,5,5,3.4212624549865724,0.9917099356651307,3.442042827606201,5.433032608032226
B,2029,11,5,5,3.464924621582031,0.9915634870529175,3.489462614059448,5.6016387939453125
B,2029,12,5,5,3.5090338230133056,0.9833813190460206,3.557354211807251,5.604973602294922
B,2030,1,1,5,2.787135601043701,0.9447663784027099,3.267822027206421,7.1057380676269535
B,2030,2,3,5,2.988439178466797,0.910333001613617,3.321150302886963,6.599548053741455
B,2030,3,3,3,3.289463837941488,0.8308821519215902,3.321150302886963,5.712530930836995
B,2030,4,2,2,3.4161317348480225,0.8995131850242615,3.4254074096679688,5.708818674087524
B,2030,5,5,5,3.443436288833618,0.9241191267967224,3.466210126876831,5.700665092468261
B,2030,6,5,5,3.4738534450531007,0.9359262943267822,3.514322757720948,5.584524440765381
B,2030,7,5,5,3.5431259155273436,0.9189458847045898,3.550459146499634,5.619229507446289
B,2030,8,5,5,3.590179777145386,0.948169469833374,3.637116432189941,5.63311014175415
B,2030,9,5,5,3.6797327518463137,0.9476114869117737,3.729904890060425,5.660472011566162
B,2030,10,5,5,3.7430009841918945,0.9712155222892761,3.806720018386841,5.685156631469726
B,2030,11,5,5,3.7799148559570312,0.9725576877593994,3.806720018386841,5.8044720649719235
B,2030,12,5,5,3.809945058822632,0.986564040184021,3.845502853393554,5.800860023498535
C,2026,1,3,5,2.6553146839141846,0.9980704545974731,2.914358377456665,6.043992233276367
C,2026,2,5,5,2.8001687049865724,0.9997889876365662,2.917757272720337,5.912720966339111
C,2026,3,4,4,3.001889944076538,0.9999003857374191,3.097930431365967,5.072126150131226
C,2026,4,5,5,3.0240245342254637,0.9999290823936462,3.097930431365967,5.049631595611572
C,2026,5,5,5,3.093975830078125,0.999971604347229,3.113921642303467,4.95932035446167
C,2026,6,4,4,3.156675636768341,0.999969393014908,3.2112679481506348,4.9671831130981445
C,2026,7,5,5,3.2099698066711424,0.9999699831008911,3.225301504135132,5.076835823059082
C,2026,8,5,5,3.2493653297424316,0.999971342086792,3.28568172454834,5.081567668914795
C,2026,9,5,5,3.306232452392578,0.9999645233154297,3.348197221755981,5.104892158508301
C,2026,10,5,5,3.343088722229004,0.9999652624130249,3.362811326980591,5.10133924484253
C,2026,11,5,5,3.3751336574554442,0.9999650239944458,3.389101982116699,5.113322448730469
C,2026,12,5,5,3.396640253067017,0.9999653339385987,3.4188337326049805,5.130589294433594
