generation,evaluations,elapsed_time_sec,mean_score,best_score,best_score_so_far,top10_mean_score,mean_pred_logsw,mean_pred_logsw_clipped,best_pred_logsw,best_pred_logsw_so_far,top10_mean_pred_logsw,mean_p_sweet,best_p_sweet,mean_d_ood,best_d_ood,mean_docking_score,best_docking_score,mean_gated_base_score,best_gated_base_score,success_count,success_rate,no_improve,method,seed
10,300,1.0508911609649658,3.528249979019165,3.641035318374634,3.641035318374634,3.588397979736328,3.028260946273804,3.028260946273804,3.141049861907959,3.141049861907959,3.088409185409546,0.9999772310256958,0.9999710321426392,5.056810855865479,4.985241889953613,7.81625509262085,7.939560890197754,3.528249979019165,3.641035318374634,30,1.0,0,Gate + sweet predictor,2026
11,330,1.1338098049163818,3.570456027984619,3.641035318374634,3.641035318374634,3.6073365211486816,3.070467710494995,3.070467710494995,3.141049861907959,3.141049861907959,3.1073477268218994,0.9999772906303406,0.9999710321426392,5.078602313995361,4.985241889953613,7.866147994995117,7.939560890197754,3.570456027984619,3.641035318374634,30,1.0,1,Gate + sweet predictor,2026
12,360,1.213228702545166,3.5962023735046387,3.673524618148804,3.673524618148804,3.640394926071167,3.0962133407592773,3.0962133407592773,3.1735339164733887,3.1735339164733887,3.1404061317443848,0.9999783039093018,0.99998140335083,5.087894916534424,4.979340553283691,7.892813205718994,7.923905372619629,3.5962023735046387,3.673524618148804,30,1.0,0,Gate + sweet predictor,2026
1,30,0.2950425148010254,2.232408046722412,3.265838861465454,3.265838861465454,2.8679778575897217,1.884840607643128,1.884840607643128,2.765846967697144,2.765846967697144,2.404982566833496,0.8013491034507751,0.9999837875366212,5.248062133789063,5.298385143280029,7.623751640319824,7.660553932189941,2.232408046722412,3.265838861465454,11,0.3666666666666666,0,Gate + sweet predictor,2027
2,60,0.3735818862915039,2.8213536739349365,3.274568796157837,3.274568796157837,3.149780035018921,2.332072496414185,2.332072496414185,2.7746481895446777,2.7746481895446777,2.649918794631958,0.97856342792511,0.9998412132263184,5.746439456939697,5.278820991516113,8.369993209838867,8.324203491210938,2.8213536739349365,3.274568796157837,25,0.8333333333333334,0,Gate + sweet predictor,2027
3,90,0.4678957462310791,3.1348021030426025,3.2937934398651123,3.2937934398651123,3.2568936347961426,2.635648488998413,2.635648488998413,2.7938780784606934,2.7938780784606934,2.7569618225097656,0.998306691646576,0.999830722808838,5.789124965667725,5.302996635437012,8.17943000793457,8.368775367736816,3.1348021030426025,3.2937934398651123,30,1.0,0,Gate + sweet predictor,2027
4,120,0.5473244190216064,3.2557992935180664,3.352850914001465,3.352850914001465,3.3082237243652344,2.7559471130371094,2.7559471130371094,2.852917194366455,2.852917194366455,2.8082756996154785,0.9997050166130066,0.9998674392700196,5.332176685333252,5.195952892303467,8.13554573059082,8.223196029663086,3.2557992935180664,3.352850914001465,30,1.0,0,Gate + sweet predictor,2027
5,150,0.6342382431030273,3.30429482460022,3.352850914001465,3.352850914001465,3.334173679351806,2.804341554641724,2.804341554641724,2.852917194366455,2.852917194366455,2.8342342376708984,0.999906837940216,0.9998674392700196,5.281412124633789,5.195952892303467,8.008157730102539,8.223196029663086,3.30429482460022,3.352850914001465,30,1.0,1,Gate + sweet predictor,2027
6,180,0.7129204273223877,3.3293545246124268,3.410784244537353,3.410784244537353,3.3628623485565186,2.829427480697632,2.829427480697632,2.9108591079711914,2.9108591079711914,2.862943649291992,0.9998542666435242,0.9998501539230348,5.256911754608154,5.041964530944824,8.11733341217041,8.038534164428711,3.3293545246124268,3.410784244537353,30,1.0,0,Gate + sweet predictor,2027
7,210,0.7991814613342285,3.341857671737671,3.458702564239502,3.458702564239502,3.3967156410217285,2.841941595077514,2.841941595077514,2.958885669708252,2.958885669708252,2.896813154220581,0.999832808971405,0.9996335506439208,5.222742557525635,5.215987682342529,8.1620454788208,8.354849815368652,3.341857671737671,3.458702564239502,30,1.0,0,Gate + sweet predictor,2027
8,240,0.8944869041442871,3.3837060928344727,3.5013718605041504,3.5013718605041504,3.4359138011932373,2.883779764175415,2.883779764175415,3.001453161239624,3.001453161239624,2.9359707832336426,0.9998522400856018,0.9998373985290528,5.195520401000977,5.128344058990479,8.171567916870117,8.207816123962402,3.3837060928344727,3.5013718605041504,30,1.0,0,Gate + sweet predictor,2027
9,270,0.9690990447998048,3.4297397136688232,3.559798240661621,3.559798240661621,3.4839541912078857,2.929816007614136,2.929816007614136,3.059858798980713,3.059858798980713,2.9840192794799805,0.9998472332954408,0.9998791217803956,5.18922758102417,5.100186347961426,8.227028846740723,8.15074634552002,3.4297397136688232,3.559798240661621,30,1.0,0,Gate + sweet predictor,2027
10,300,1.0620005130767822,3.481339931488037,3.587559223175049,3.587559223175049,3.543188095092773,2.981398582458496,2.981398582458496,3.087613821029663,3.087613821029663,3.043243169784546,0.9998828172683716,0.999890923500061,5.141680240631104,5.087543487548828,8.16158676147461,8.091636657714844,3.481339931488037,3.587559223175049,30,1.0,0,Gate + sweet predictor,2027
11,330,1.132704257965088,3.542830228805542,3.620418548583984,3.620418548583984,3.587144374847412,3.042898416519165,3.042898416519165,3.120476484298706,3.120476484298706,3.087204694747925,0.9998642802238464,0.9998842477798462,5.149484157562256,5.106896877288818,8.203339576721191,8.092132568359375,3.542830228805542,3.620418548583984,30,1.0,0,Gate + sweet predictor,2027
12,360,1.217930793762207,3.5778005123138428,3.6629440784454346,3.6629440784454346,3.6263835430145264,3.0778610706329346,3.0778610706329346,3.1630167961120605,3.1630167961120605,3.1264450550079346,0.9998786449432372,0.9998544454574584,5.145432949066162,5.211700439453125,8.138067245483398,8.013171195983887,3.5778005123138428,3.6629440784454346,30,1.0,0,Gate + sweet predictor,2027
1,30,0.291334867477417,2.232408046722412,3.265838861465454,3.265838861465454,2.8679778575897217,1.884840488433838,1.884840488433838,2.765846967697144,2.765846967697144,2.404982566833496,0.8013492822647095,0.9999837875366212,5.248062610626221,5.298385143280029,7.623751640319824,7.660553932189941,2.232408046722412,3.265838861465454,11,0.3666666666666666,0,Gate + sweet predictor,2028
2,60,0.3798050880432129,2.893444538116455,3.268405675888061,3.268405675888061,3.187399387359619,2.4412410259246826,2.4412410259246826,2.768413782119751,2.768413782119751,2.691390037536621,0.9189363718032836,0.9999836683273317,5.756875514984131,5.314636707305908,8.208195686340332,7.605332851409912,2.893444538116455,3.268405675888061,22,0.7333333333333333,0,Gate + sweet predictor,2028
3,90,0.4590587615966797,3.173417806625366,3.317049980163574,3.317049980163574,3.279719114303589,2.6757822036743164,2.6757822036743164,2.817056894302368,2.817056894302368,2.7797281742095947,0.995270609855652,0.9999862909317015,5.4734206199646,5.015273094177246,8.063072204589844,7.844963073730469,3.173417806625366,3.317049980163574,30,1.0,0,Gate + sweet predictor,2028
4,120,0.544783353805542,3.275060176849365,3.42236328125,3.42236328125,3.3495864868164062,2.7760469913482666,2.7760469913482666,2.922374725341797,2.922374725341797,2.849595308303833,0.9980265498161316,0.9999772310256958,5.2342729568481445,5.102218627929688,7.92371129989624,7.924437046051025,3.275060176849365,3.42236328125,30,1.0,0,Gate + sweet predictor,2028
5,150,0.6236450672149658,3.340214967727661,3.5092546939849854,3.5092546939849854,3.414358139038086,2.840224266052246,2.840224266052246,3.009263515472412,3.009263515472412,2.91436767578125,0.9999815821647644,0.999982476234436,5.03586483001709,4.9944987297058105,7.841779708862305,7.69821310043335,3.340214967727661,3.5092546939849854,30,1.0,0,Gate + sweet predictor,2028
6,180,0.6998603343963623,3.416632890701294,3.546154260635376,3.546154260635376,3.5101261138916016,2.916642189025879,2.916642189025879,3.0461630821228027,3.0461630821228027,3.0101351737976074,0.999980330467224,0.9999822378158568,5.026000499725342,5.031123161315918,7.8539137840271,7.749373435974121,3.416632890701294,3.546154260635376,30,1.0,0,Gate + sweet predictor,2028
